unit,indic_is,ind_type,geo\time	2011 	2013 	2015 
PC_IND,I_IUWIKI,SAL_SELF_FAM,LV	31 	27 	25 
PC_IND,I_IUWIKI,SAL_SELF_FAM,MK	: 	20 	37 
PC_IND,I_IUWIKI,SAL_SELF_FAM,MT	47 	42 	56 
PC_IND,I_IUWIKI,SAL_SELF_FAM,NL	60 	70 	64 
PC_IND,I_IUWIKI,SAL_SELF_FAM,NO	78 	73 	78 
PC_IND,I_IUWIKI,SAL_SELF_FAM,PL	30 	35 	35 
PC_IND,I_IUWIKI,SAL_SELF_FAM,PT	36 	43 	47 
PC_IND,I_IUWIKI,SAL_SELF_FAM,RO	15 	14 	19 
PC_IND,I_IUWIKI,SAL_SELF_FAM,RS	: 	: 	57 
PC_IND,I_IUWIKI,SAL_SELF_FAM,SE	60 	72 	67 
PC_IND,I_IUWIKI,SAL_SELF_FAM,SI	41 	47 	46 
PC_IND,I_IUWIKI,SAL_SELF_FAM,SK	32 	31 	41 
PC_IND,I_IUWIKI,SAL_SELF_FAM,TR	: 	19 	32 
PC_IND,I_IUWIKI,SAL_SELF_FAM,UK	46 	51 	58 
PC_IND,I_IUWIKI,STUD,AT	97 	92 	89 
PC_IND,I_IUWIKI,STUD,BE	59 	61 	73 
PC_IND,I_IUWIKI,STUD,BG	43 	37 	60 
PC_IND,I_IUWIKI,STUD,CY	81 	77 	88 
PC_IND,I_IUWIKI,STUD,CZ	52 	75 	81 
PC_IND,I_IUWIKI,STUD,DE	92 	93 	90 
PC_IND,I_IUWIKI,STUD,DK	85 	91 	88 
PC_IND,I_IUWIKI,STUD,EA	79 	84 	78 
PC_IND,I_IUWIKI,STUD,EE	79 	83 	90 
PC_IND,I_IUWIKI,STUD,EL	67 	72 	68 
PC_IND,I_IUWIKI,STUD,ES	83 	89 	89 
PC_IND,I_IUWIKI,STUD,EU27_2007	74 	78 	75 
PC_IND,I_IUWIKI,STUD,EU27_2020	75 	79 	76 
PC_IND,I_IUWIKI,STUD,EU28	73 	78 	75 
PC_IND,I_IUWIKI,STUD,FI	94 	96 	92 
PC_IND,I_IUWIKI,STUD,FR	78 	91 	61 
PC_IND,I_IUWIKI,STUD,HR	56 	71 	95 
PC_IND,I_IUWIKI,STUD,HU	64 	66 	80 
PC_IND,I_IUWIKI,STUD,IE	52 	47 	43 
PC_IND,I_IUWIKI,STUD,IS	94 	92 	: 
PC_IND,I_IUWIKI,STUD,IT	68 	70 	72 
